date,Country,State,Lat,Lon
1/22/20,Afghanistan,,33.93911,67.709953,0
1/23/20,Afghanistan,,33.93911,67.709953,0
1/24/20,Afghanistan,,33.93911,67.709953,0
1/25/20,Afghanistan,,33.93911,67.709953,0
1/26/20,Afghanistan,,33.93911,67.709953,0
1/27/20,Afghanistan,,33.93911,67.709953,0
1/28/20,Afghanistan,,33.93911,67.709953,0
1/29/20,Afghanistan,,33.93911,67.709953,0
1/30/20,Afghanistan,,33.93911,67.709953,0
1/31/20,Afghanistan,,33.93911,67.709953,0
2/1/20,Afghanistan,,33.93911,67.709953,0
2/2/20,Afghanistan,,33.93911,67.709953,0
2/3/20,Afghanistan,,33.93911,67.709953,0
2/4/20,Afghanistan,,33.93911,67.709953,0
2/5/20,Afghanistan,,33.93911,67.709953,0
2/6/20,Afghanistan,,33.93911,67.709953,0
2/7/20,Afghanistan,,33.93911,67.709953,0
2/8/20,Afghanistan,,33.93911,67.709953,0
2/9/20,Afghanistan,,33.93911,67.709953,0
2/10/20,Afghanistan,,33.93911,67.709953,0
2/11/20,Afghanistan,,33.93911,67.709953,0
2/12/20,Afghanistan,,33.93911,67.709953,0
2/13/20,Afghanistan,,33.93911,67.709953,0
2/14/20,Afghanistan,,33.93911,67.709953,0
2/15/20,Afghanistan,,33.93911,67.709953,0
2/16/20,Afghanistan,,33.93911,67.709953,0
2/17/20,Afghanistan,,33.93911,67.709953,0
2/18/20,Afghanistan,,33.93911,67.709953,0
2/19/20,Afghanistan,,33.93911,67.709953,0
2/20/20,Afghanistan,,33.93911,67.709953,0
2/21/20,Afghanistan,,33.93911,67.709953,0
2/22/20,Afghanistan,,33.93911,67.709953,0
2/23/20,Afghanistan,,33.93911,67.709953,0
2/24/20,Afghanistan,,33.93911,67.709953,1
2/25/20,Afghanistan,,33.93911,67.709953,1
2/26/20,Afghanistan,,33.93911,67.709953,1
2/27/20,Afghanistan,,33.93911,67.709953,1
2/28/20,Afghanistan,,33.93911,67.709953,1
2/29/20,Afghanistan,,33.93911,67.709953,1
3/1/20,Afghanistan,,33.93911,67.709953,1
3/2/20,Afghanistan,,33.93911,67.709953,1
3/3/20,Afghanistan,,33.93911,67.709953,2
3/4/20,Afghanistan,,33.93911,67.709953,4
3/5/20,Afghanistan,,33.93911,67.709953,4
3/6/20,Afghanistan,,33.93911,67.709953,4
3/7/20,Afghanistan,,33.93911,67.709953,4
3/8/20,Afghanistan,,33.93911,67.709953,5
3/9/20,Afghanistan,,33.93911,67.709953,7
3/10/20,Afghanistan,,33.93911,67.709953,8
3/11/20,Afghanistan,,33.93911,67.709953,11
3/12/20,Afghanistan,,33.93911,67.709953,12
3/13/20,Afghanistan,,33.93911,67.709953,13
3/14/20,Afghanistan,,33.93911,67.709953,15
3/15/20,Afghanistan,,33.93911,67.709953,16
3/16/20,Afghanistan,,33.93911,67.709953,18
3/17/20,Afghanistan,,33.93911,67.709953,20
3/18/20,Afghanistan,,33.93911,67.709953,24
3/19/20,Afghanistan,,33.93911,67.709953,25
3/20/20,Afghanistan,,33.93911,67.709953,29
3/21/20,Afghanistan,,33.93911,67.709953,30
3/22/20,Afghanistan,,33.93911,67.709953,34
3/23/20,Afghanistan,,33.93911,67.709953,41
3/24/20,Afghanistan,,33.93911,67.709953,43
3/25/20,Afghanistan,,33.93911,67.709953,76
3/26/20,Afghanistan,,33.93911,67.709953,80
3/27/20,Afghanistan,,33.93911,67.709953,91
3/28/20,Afghanistan,,33.93911,67.709953,107
3/29/20,Afghanistan,,33.93911,67.709953,118
3/30/20,Afghanistan,,33.93911,67.709953,146
3/31/20,Afghanistan,,33.93911,67.709953,175
4/1/20,Afghanistan,,33.93911,67.709953,197
4/2/20,Afghanistan,,33.93911,67.709953,240
4/3/20,Afghanistan,,33.93911,67.709953,275
4/4/20,Afghanistan,,33.93911,67.709953,300
4/5/20,Afghanistan,,33.93911,67.709953,338
4/6/20,Afghanistan,,33.93911,67.709953,368
4/7/20,Afghanistan,,33.93911,67.709953,424
4/8/20,Afghanistan,,33.93911,67.709953,445
4/9/20,Afghanistan,,33.93911,67.709953,485
4/10/20,Afghanistan,,33.93911,67.709953,532
4/11/20,Afghanistan,,33.93911,67.709953,556
4/12/20,Afghanistan,,33.93911,67.709953,608
4/13/20,Afghanistan,,33.93911,67.709953,666
4/14/20,Afghanistan,,33.93911,67.709953,715
4/15/20,Afghanistan,,33.93911,67.709953,785
4/16/20,Afghanistan,,33.93911,67.709953,841
4/17/20,Afghanistan,,33.93911,67.709953,907
4/18/20,Afghanistan,,33.93911,67.709953,934
4/19/20,Afghanistan,,33.93911,67.709953,997
4/20/20,Afghanistan,,33.93911,67.709953,1027
4/21/20,Afghanistan,,33.93911,67.709953,1093
4/22/20,Afghanistan,,33.93911,67.709953,1177
4/23/20,Afghanistan,,33.93911,67.709953,1236
4/24/20,Afghanistan,,33.93911,67.709953,1331
4/25/20,Afghanistan,,33.93911,67.709953,1464
4/26/20,Afghanistan,,33.93911,67.709953,1532
4/27/20,Afghanistan,,33.93911,67.709953,1704
4/28/20,Afghanistan,,33.93911,67.709953,1830
4/29/20,Afghanistan,,33.93911,67.709953,1940
4/30/20,Afghanistan,,33.93911,67.709953,2127
5/1/20,Afghanistan,,33.93911,67.709953,2291
5/2/20,Afghanistan,,33.93911,67.709953,2470
5/3/20,Afghanistan,,33.93911,67.709953,2705
5/4/20,Afghanistan,,33.93911,67.709953,2895
5/5/20,Afghanistan,,33.93911,67.709953,3225
5/6/20,Afghanistan,,33.93911,67.709953,3393
5/7/20,Afghanistan,,33.93911,67.709953,3564
5/8/20,Afghanistan,,33.93911,67.709953,3781
5/9/20,Afghanistan,,33.93911,67.709953,4042
5/10/20,Afghanistan,,33.93911,67.709953,4403
5/11/20,Afghanistan,,33.93911,67.709953,4687
5/12/20,Afghanistan,,33.93911,67.709953,4968
5/13/20,Afghanistan,,33.93911,67.709953,5227
5/14/20,Afghanistan,,33.93911,67.709953,5640
5/15/20,Afghanistan,,33.93911,67.709953,6054
5/16/20,Afghanistan,,33.93911,67.709953,6403
5/17/20,Afghanistan,,33.93911,67.709953,6665
5/18/20,Afghanistan,,33.93911,67.709953,7073
5/19/20,Afghanistan,,33.93911,67.709953,7654
5/20/20,Afghanistan,,33.93911,67.709953,8146
5/21/20,Afghanistan,,33.93911,67.709953,8677
5/22/20,Afghanistan,,33.93911,67.709953,9219
5/23/20,Afghanistan,,33.93911,67.709953,10001
5/24/20,Afghanistan,,33.93911,67.709953,10585
5/25/20,Afghanistan,,33.93911,67.709953,11176
5/26/20,Afghanistan,,33.93911,67.709953,11834
5/27/20,Afghanistan,,33.93911,67.709953,12459
5/28/20,Afghanistan,,33.93911,67.709953,13039
5/29/20,Afghanistan,,33.93911,67.709953,13662
5/30/20,Afghanistan,,33.93911,67.709953,14528
5/31/20,Afghanistan,,33.93911,67.709953,15208
6/1/20,Afghanistan,,33.93911,67.709953,15753
6/2/20,Afghanistan,,33.93911,67.709953,16512
6/3/20,Afghanistan,,33.93911,67.709953,17270
6/4/20,Afghanistan,,33.93911,67.709953,18057
6/5/20,Afghanistan,,33.93911,67.709953,18972
6/6/20,Afghanistan,,33.93911,67.709953,19554
6/7/20,Afghanistan,,33.93911,67.709953,20345
6/8/20,Afghanistan,,33.93911,67.709953,20920
6/9/20,Afghanistan,,33.93911,67.709953,21462
6/10/20,Afghanistan,,33.93911,67.709953,22146
6/11/20,Afghanistan,,33.93911,67.709953,22894
6/12/20,Afghanistan,,33.93911,67.709953,23550
6/13/20,Afghanistan,,33.93911,67.709953,24106
6/14/20,Afghanistan,,33.93911,67.709953,24770
6/15/20,Afghanistan,,33.93911,67.709953,25531
6/16/20,Afghanistan,,33.93911,67.709953,26314
6/17/20,Afghanistan,,33.93911,67.709953,26878
6/18/20,Afghanistan,,33.93911,67.709953,27536
6/19/20,Afghanistan,,33.93911,67.709953,27882
6/20/20,Afghanistan,,33.93911,67.709953,28428
6/21/20,Afghanistan,,33.93911,67.709953,28837
6/22/20,Afghanistan,,33.93911,67.709953,29147
6/23/20,Afghanistan,,33.93911,67.709953,29471
6/24/20,Afghanistan,,33.93911,67.709953,29705
6/25/20,Afghanistan,,33.93911,67.709953,30165
6/26/20,Afghanistan,,33.93911,67.709953,30441
6/27/20,Afghanistan,,33.93911,67.709953,30606
6/28/20,Afghanistan,,33.93911,67.709953,30957
6/29/20,Afghanistan,,33.93911,67.709953,31228
6/30/20,Afghanistan,,33.93911,67.709953,31507
7/1/20,Afghanistan,,33.93911,67.709953,31826
7/2/20,Afghanistan,,33.93911,67.709953,32012
7/3/20,Afghanistan,,33.93911,67.709953,32314
7/4/20,Afghanistan,,33.93911,67.709953,32662
7/5/20,Afghanistan,,33.93911,67.709953,32941
7/6/20,Afghanistan,,33.93911,67.709953,33180
7/7/20,Afghanistan,,33.93911,67.709953,33374
7/8/20,Afghanistan,,33.93911,67.709953,33584
7/9/20,Afghanistan,,33.93911,67.709953,33898
7/10/20,Afghanistan,,33.93911,67.709953,34184
7/11/20,Afghanistan,,33.93911,67.709953,34356
7/12/20,Afghanistan,,33.93911,67.709953,34441
7/13/20,Afghanistan,,33.93911,67.709953,34595
7/14/20,Afghanistan,,33.93911,67.709953,34730
7/15/20,Afghanistan,,33.93911,67.709953,34984
7/16/20,Afghanistan,,33.93911,67.709953,35060
7/17/20,Afghanistan,,33.93911,67.709953,35219
7/18/20,Afghanistan,,33.93911,67.709953,35279
7/19/20,Afghanistan,,33.93911,67.709953,35453
7/20/20,Afghanistan,,33.93911,67.709953,35493
7/21/20,Afghanistan,,33.93911,67.709953,35605
7/22/20,Afghanistan,,33.93911,67.709953,35717
7/23/20,Afghanistan,,33.93911,67.709953,35918
7/24/20,Afghanistan,,33.93911,67.709953,35978
7/25/20,Afghanistan,,33.93911,67.709953,36026
7/26/20,Afghanistan,,33.93911,67.709953,36147
7/27/20,Afghanistan,,33.93911,67.709953,36253
7/28/20,Afghanistan,,33.93911,67.709953,36358
7/29/20,Afghanistan,,33.93911,67.709953,36463
7/30/20,Afghanistan,,33.93911,67.709953,36532
7/31/20,Afghanistan,,33.93911,67.709953,36665
8/1/20,Afghanistan,,33.93911,67.709953,36700
8/2/20,Afghanistan,,33.93911,67.709953,36701
8/3/20,Afghanistan,,33.93911,67.709953,36737
8/4/20,Afghanistan,,33.93911,67.709953,36773
8/5/20,Afghanistan,,33.93911,67.709953,36820
8/6/20,Afghanistan,,33.93911,67.709953,36928
8/7/20,Afghanistan,,33.93911,67.709953,37006
8/8/20,Afghanistan,,33.93911,67.709953,37046
8/9/20,Afghanistan,,33.93911,67.709953,37083
8/10/20,Afghanistan,,33.93911,67.709953,37153
8/11/20,Afghanistan,,33.93911,67.709953,37260
8/12/20,Afghanistan,,33.93911,67.709953,37336
8/13/20,Afghanistan,,33.93911,67.709953,37422
8/14/20,Afghanistan,,33.93911,67.709953,37497
8/15/20,Afghanistan,,33.93911,67.709953,37542
8/16/20,Afghanistan,,33.93911,67.709953,37590
8/17/20,Afghanistan,,33.93911,67.709953,37667
8/18/20,Afghanistan,,33.93911,67.709953,37710
8/19/20,Afghanistan,,33.93911,67.709953,37750
8/20/20,Afghanistan,,33.93911,67.709953,37852
8/21/20,Afghanistan,,33.93911,67.709953,37885
8/22/20,Afghanistan,,33.93911,67.709953,37944
8/23/20,Afghanistan,,33.93911,67.709953,37990
8/24/20,Afghanistan,,33.93911,67.709953,38045
8/25/20,Afghanistan,,33.93911,67.709953,38061
8/26/20,Afghanistan,,33.93911,67.709953,38103
8/27/20,Afghanistan,,33.93911,67.709953,38119
8/28/20,Afghanistan,,33.93911,67.709953,38130
8/29/20,Afghanistan,,33.93911,67.709953,38133
8/30/20,Afghanistan,,33.93911,67.709953,38155
8/31/20,Afghanistan,,33.93911,67.709953,38159
9/1/20,Afghanistan,,33.93911,67.709953,38193
9/2/20,Afghanistan,,33.93911,67.709953,38243
9/3/20,Afghanistan,,33.93911,67.709953,38288
9/4/20,Afghanistan,,33.93911,67.709953,38304
9/5/20,Afghanistan,,33.93911,67.709953,38324
9/6/20,Afghanistan,,33.93911,67.709953,38398
9/7/20,Afghanistan,,33.93911,67.709953,38494
9/8/20,Afghanistan,,33.93911,67.709953,38520
9/9/20,Afghanistan,,33.93911,67.709953,38544
9/10/20,Afghanistan,,33.93911,67.709953,38572
9/11/20,Afghanistan,,33.93911,67.709953,38606
9/12/20,Afghanistan,,33.93911,67.709953,38641
9/13/20,Afghanistan,,33.93911,67.709953,38716
9/14/20,Afghanistan,,33.93911,67.709953,38772
9/15/20,Afghanistan,,33.93911,67.709953,38815
9/16/20,Afghanistan,,33.93911,67.709953,38855
9/17/20,Afghanistan,,33.93911,67.709953,38872
9/18/20,Afghanistan,,33.93911,67.709953,38897
9/19/20,Afghanistan,,33.93911,67.709953,38919
9/20/20,Afghanistan,,33.93911,67.709953,39044
9/21/20,Afghanistan,,33.93911,67.709953,39074
9/22/20,Afghanistan,,33.93911,67.709953,39096
9/23/20,Afghanistan,,33.93911,67.709953,39145
9/24/20,Afghanistan,,33.93911,67.709953,39170
9/25/20,Afghanistan,,33.93911,67.709953,39186
9/26/20,Afghanistan,,33.93911,67.709953,39192
9/27/20,Afghanistan,,33.93911,67.709953,39227
9/28/20,Afghanistan,,33.93911,67.709953,39239
9/29/20,Afghanistan,,33.93911,67.709953,39254
9/30/20,Afghanistan,,33.93911,67.709953,39268
10/1/20,Afghanistan,,33.93911,67.709953,39285
10/2/20,Afghanistan,,33.93911,67.709953,39290
10/3/20,Afghanistan,,33.93911,67.709953,39297
10/4/20,Afghanistan,,33.93911,67.709953,39341
10/5/20,Afghanistan,,33.93911,67.709953,39422
10/6/20,Afghanistan,,33.93911,67.709953,39486
10/7/20,Afghanistan,,33.93911,67.709953,39548
10/8/20,Afghanistan,,33.93911,67.709953,39616
10/9/20,Afghanistan,,33.93911,67.709953,39693
10/10/20,Afghanistan,,33.93911,67.709953,39703
10/11/20,Afghanistan,,33.93911,67.709953,39799
10/12/20,Afghanistan,,33.93911,67.709953,39870
10/13/20,Afghanistan,,33.93911,67.709953,39928
10/14/20,Afghanistan,,33.93911,67.709953,39994
10/15/20,Afghanistan,,33.93911,67.709953,40026
10/16/20,Afghanistan,,33.93911,67.709953,40088
10/17/20,Afghanistan,,33.93911,67.709953,40141
10/18/20,Afghanistan,,33.93911,67.709953,40200
10/19/20,Afghanistan,,33.93911,67.709953,40287
10/20/20,Afghanistan,,33.93911,67.709953,40369
10/21/20,Afghanistan,,33.93911,67.709953,40510
10/22/20,Afghanistan,,33.93911,67.709953,40626
10/23/20,Afghanistan,,33.93911,67.709953,40687
10/24/20,Afghanistan,,33.93911,67.709953,40768
10/25/20,Afghanistan,,33.93911,67.709953,40833
10/26/20,Afghanistan,,33.93911,67.709953,40937
10/27/20,Afghanistan,,33.93911,67.709953,41032
10/28/20,Afghanistan,,33.93911,67.709953,41145
10/29/20,Afghanistan,,33.93911,67.709953,41268
10/30/20,Afghanistan,,33.93911,67.709953,41334
10/31/20,Afghanistan,,33.93911,67.709953,41425
11/1/20,Afghanistan,,33.93911,67.709953,41501
11/2/20,Afghanistan,,33.93911,67.709953,41633
11/3/20,Afghanistan,,33.93911,67.709953,41728
11/4/20,Afghanistan,,33.93911,67.709953,41814
11/5/20,Afghanistan,,33.93911,67.709953,41935
11/6/20,Afghanistan,,33.93911,67.709953,41975
11/7/20,Afghanistan,,33.93911,67.709953,42033
11/8/20,Afghanistan,,33.93911,67.709953,42159
11/9/20,Afghanistan,,33.93911,67.709953,42297
11/10/20,Afghanistan,,33.93911,67.709953,42463
11/11/20,Afghanistan,,33.93911,67.709953,42609
11/12/20,Afghanistan,,33.93911,67.709953,42795
11/13/20,Afghanistan,,33.93911,67.709953,42969
11/14/20,Afghanistan,,33.93911,67.709953,43035
11/15/20,Afghanistan,,33.93911,67.709953,43240
11/16/20,Afghanistan,,33.93911,67.709953,43468
11/17/20,Afghanistan,,33.93911,67.709953,43681
11/18/20,Afghanistan,,33.93911,67.709953,43924
11/19/20,Afghanistan,,33.93911,67.709953,44177
11/20/20,Afghanistan,,33.93911,67.709953,44363
11/21/20,Afghanistan,,33.93911,67.709953,44503
11/22/20,Afghanistan,,33.93911,67.709953,44706
11/23/20,Afghanistan,,33.93911,67.709953,44988
11/24/20,Afghanistan,,33.93911,67.709953,45174
11/25/20,Afghanistan,,33.93911,67.709953,45384
11/26/20,Afghanistan,,33.93911,67.709953,45600
11/27/20,Afghanistan,,33.93911,67.709953,45723
11/28/20,Afghanistan,,33.93911,67.709953,45844
11/29/20,Afghanistan,,33.93911,67.709953,46116
11/30/20,Afghanistan,,33.93911,67.709953,46274
12/1/20,Afghanistan,,33.93911,67.709953,46516
12/2/20,Afghanistan,,33.93911,67.709953,46718
12/3/20,Afghanistan,,33.93911,67.709953,46837
12/4/20,Afghanistan,,33.93911,67.709953,46837
12/5/20,Afghanistan,,33.93911,67.709953,47072
12/6/20,Afghanistan,,33.93911,67.709953,47306
12/7/20,Afghanistan,,33.93911,67.709953,47516
12/8/20,Afghanistan,,33.93911,67.709953,47716
12/9/20,Afghanistan,,33.93911,67.709953,47851
